"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.518152944E0,-1.819593310E-1,-9.576807022E-1,9.873687744E0,9.921691952E0
1.523157821E0,1.340752989E-1,-5.841852427E-1,1.000776291E1,1.002569534E1
1.528193215E0,9.576806426E-2,-2.106897533E-1,1.059194851E1,1.059447662E1
1.533228609E0,2.489969730E-1,-2.873042040E-2,1.062067890E1,1.062363616E1
1.538264003E0,8.714894056E-1,-7.661445439E-2,1.088882923E1,1.092391714E1
1.543268880E0,8.810662031E-1,7.661445439E-2,9.260771751E0,9.302904969E0
1.548304274E0,4.118026793E-1,3.639186621E-1,9.404424667E0,9.420468224E0
1.553339669E0,5.458779931E-1,1.819593310E-1,9.940725327E0,9.957364712E0
1.558344546E0,4.213795066E-1,2.585737705E-1,9.921571732E0,9.933881754E0
1.563379940E0,2.873042040E-2,3.830722570E-1,1.048660374E1,1.049363749E1
1.568415333E0,1.149216816E-1,4.309563041E-1,1.070687008E1,1.071615590E1
1.573450728E0,4.309563041E-1,3.734954596E-1,1.069729328E1,1.071248364E1
1.578455605E0,5.554547906E-1,1.340752989E-1,1.040998936E1,1.042565991E1
1.583490999E0,5.937620401E-1,1.532289088E-1,9.883264542E0,9.902269965E0
1.588526393E0,2.777273953E-1,6.703764945E-2,1.063983250E1,1.064366770E1
1.593561788E0,4.884171486E-1,-2.489969730E-1,1.163582039E1,1.164872812E1
1.598566665E0,3.064578176E-1,-1.723825186E-1,9.806650162E0,9.812951621E0
