"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.480275955E0,4.759673119E0,3.639186621E-1,7.996633530E0,9.313059261E0
1.485280834E0,4.644751072E0,6.895300746E-1,8.350975990E0,9.580603542E0
1.490316229E0,4.424484730E0,1.082179189E0,8.619126320E0,9.748667367E0
1.495351624E0,4.175487995E0,1.589749932E0,8.820239067E0,9.887295993E0
1.500387021E0,4.127603531E0,2.126051188E0,8.935160637E0,1.006947368E1
1.505391899E0,4.491522312E0,2.777273893E0,8.963891029E0,1.040376688E1
1.510427295E0,4.912901878E0,3.428496838E0,8.609549522E0,1.048882922E1
1.515462690E0,5.410895824E0,4.309563160E0,8.178592682E0,1.071165284E1
1.520498087E0,6.042964935E0,5.037400246E0,7.536946774E0,1.089487922E1
1.525502964E0,6.435614109E0,5.554547787E0,6.866570473E0,1.092794217E1
1.530538361E0,6.703764915E0,5.870582581E0,6.311115742E0,1.091944988E1
1.535573756E0,6.512228489E0,5.908889771E0,6.062118530E0,1.068051400E1
1.540609153E0,5.870582581E0,5.928043365E0,6.100425720E0,1.033540671E1
1.545644548E0,5.353435040E0,5.975927353E0,6.579266071E0,1.037582365E1
1.550649427E0,5.679046631E0,5.937620163E0,7.556100368E0,1.116250674E1
1.555684822E0,6.895300865E0,5.793968201E0,8.925583839E0,1.267995617E1
1.560720219E0,8.169015884E0,5.219359875E0,1.040041256E1,1.421770444E1
1.565755614E0,9.222464561E0,4.309563160E0,1.200931549E1,1.574324762E1
1.570760493E0,9.337387085E0,3.141192675E0,1.383848572E1,1.698698254E1
1.575795888E0,8.599972725E0,1.972822189E0,1.579215431E1,1.808987828E1
1.580831285E0,7.067683220E0,1.216254473E0,1.768836212E1,1.908689539E1
1.585866680E0,5.133168221E0,9.289502501E-1,1.940261078E1,2.009163183E1
1.590871559E0,3.390189648E0,1.072602391E0,2.062844276E1,2.093266616E1
